-----------------------------------
Palabra              | Frecuencia
-----------------------------------
"Código              | 1         
"Hola,               | 1         
"Monty               | 1         
"Python              | 1         
"Python"             | 1         
"dictador            | 1         
"marco               | 1         
"para                | 1         
(es                  | 1         
1989,                | 1         
2005                 | 1         
2011,                | 1         
A                    | 3         
API                  | 2         
Actualmente          | 1         
Afortunadamente,     | 1         
Al                   | 1         
Algunas              | 1         
Anaconda,            | 1         
Aplicaciones         | 2         
Aquí                 | 1         
Así                  | 1         
Bajos.               | 1         
Beautiful            | 1         
Bibliotecas          | 1         
Binarios             | 1         
Brad                 | 1         
Breve                | 1         
Cinco                | 1         
Circus",             | 1         
ClipboardError:      | 1         
Como                 | 3         
Con                  | 1         
Copia                | 1         
Copied               | 1         
Copy                 | 1         
Could                | 1         
Cuando               | 1         
De                   | 1         
Debido               | 2         
Decidió              | 1         
Desarrollo           | 1         
Django               | 7         
Django,              | 3         
Django.              | 3         
Django?              | 1         
Dropbox.             | 1         
Ejemplo              | 1         
El                   | 4         
En                   | 6         
Es                   | 5         
Estamos              | 1         
Este                 | 1         
Esto                 | 4         
Express              | 1         
Flask                | 6         
Flying               | 1         
Foundation.          | 1         
GitHub               | 1         
GitHub?              | 1         
Google               | 2         
Google:              | 1         
Guido                | 1         
HTML                 | 1         
Hablaremos           | 1         
IA                   | 3         
Ideal                | 1         
Instagram,           | 1         
Installer            | 1         
Internet             | 1         
JavaScript,          | 1         
Jupyter              | 1         
Kaggle.              | 1         
La                   | 3         
Las                  | 2         
Los                  | 2         
MVC                  | 1         
MVC,                 | 1         
Mac.                 | 1         
Matplotlib           | 1         
Mientras             | 1         
Model-Viewer-Controller. | 1         
Muchos               | 1         
Más                  | 1         
Nest.                | 1         
No                   | 1         
Norvig,              | 1         
Notebooks,           | 1         
NumPy                | 1         
Otra                 | 1         
Para                 | 1         
Países               | 1         
Pero                 | 1         
Peter                | 1         
Pinterest,           | 1         
Por                  | 3         
Probablemente        | 1         
Programas            | 1         
Puede                | 1         
Py                   | 1         
PyTorch              | 1         
Python               | 35        
Python!              | 1         
Python's             | 1         
Python,              | 3         
Python.              | 2         
Python?              | 5         
REST                 | 1         
Rails.               | 1         
Rascadores           | 1         
Rossum               | 2         
Ruby                 | 1         
Scripts              | 1         
